序号,电影名称,评分,推荐语,网址链接
45,两杆大烟枪,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://movie.douban.com/subject/1293350/
46,飞越疯人院,9.1,自由万岁。,https://movie.douban.com/subject/1292224/
47,死亡诗社,9.0,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/
48,V字仇杀队,8.8,一张面具背后的理想与革命。,https://movie.douban.com/subject/1309046/
49,指环王2：双塔奇兵,9.0,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/
50,教父2,9.1,优雅的孤独。,https://movie.douban.com/subject/1299131/
51,海豚湾,9.3,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/
52,指环王1：魔戒再现,8.9,传说的开始。,https://movie.douban.com/subject/1291571/
53,素媛,9.1,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://movie.douban.com/subject/21937452/
54,饮食男女,9.1,人生不能像做菜，把所有的料都准备好了才下锅。,https://movie.douban.com/subject/1291818/
55,美丽心灵,8.9,爱是一切逻辑和原由。,https://movie.douban.com/subject/1306029/
56,末代皇帝,9.1,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/
57,情书,8.9,暗恋的极致。,https://movie.douban.com/subject/1292220/
58,狮子王,8.9,动物版《哈姆雷特》。,https://movie.douban.com/subject/1301753/
59,钢琴家,9.1,音乐能化解仇恨。,https://movie.douban.com/subject/1296736/
60,美国往事,9.1,往事如烟，无处祭奠。,https://movie.douban.com/subject/1292262/
61,小鞋子,9.2,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/
62,本杰明·巴顿奇事,8.8,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/
63,七宗罪,8.8,警察抓小偷，老鼠玩死猫。,https://movie.douban.com/subject/1292223/
64,西西里的美丽传说,8.8,美丽无罪。,https://movie.douban.com/subject/1292402/
65,致命魔术,8.8,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/
66,被嫌弃的松子的一生,8.9,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/
67,黑客帝国,8.9,视觉革命。,https://movie.douban.com/subject/1291843/
68,让子弹飞,8.7,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/
69,看不见的客人,8.7,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/
70,拯救大兵瑞恩,8.9,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/
71,大闹天宫,9.3,经典之作，历久弥新。,https://movie.douban.com/subject/1418019/
72,音乐之声,8.9,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/
73,低俗小说,8.8,故事的高级讲法。,https://movie.douban.com/subject/1291832/
74,天使爱美丽,8.7,法式小清新。 ,https://movie.douban.com/subject/1292215/
75,哈利·波特与魔法石,8.8,童话世界的开端。,https://movie.douban.com/subject/1295038/
76,勇敢的心,8.8,史诗大片的典范。,https://movie.douban.com/subject/1294639/
77,剪刀手爱德华,8.7,浪漫忧郁的成人童话。,https://movie.douban.com/subject/1292370/
78,沉默的羔羊,8.8,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/
79,寻梦环游记,9.0,死亡不是真的逝去，遗忘才是永恒的消亡。,https://movie.douban.com/subject/20495023/
80,蝴蝶效应,8.7,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/
81,春光乍泄,8.9,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/
82,心灵捕手,8.8,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/
83,猫鼠游戏,8.8,骗子大师和执著警探的你追我跑故事。 ,https://movie.douban.com/subject/1305487/
84,入殓师,8.8,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/
85,布达佩斯大饭店,8.8,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/
86,禁闭岛,8.7,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/
87,幽灵公主,8.8,人与自然的战争史诗。,https://movie.douban.com/subject/1297359/
88,阳光灿烂的日子,8.8,一场华丽的意淫。,https://movie.douban.com/subject/1291875/
89,玛丽和马克思,8.9,你是我最好的朋友，你是我唯一的朋友 。,https://movie.douban.com/subject/3072124/
90,穿条纹睡衣的男孩,9.0,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/
91,第六感,8.8,深入内心的恐怖，出人意料的结局。,https://movie.douban.com/subject/1297630/
92,狩猎,9.1,人言可畏。,https://movie.douban.com/subject/6985810/
93,重庆森林,8.7,寂寞没有期限。,https://movie.douban.com/subject/1291999/
94,致命ID,8.7,最不可能的那个人永远是最可能的。,https://movie.douban.com/subject/1297192/
95,断背山,8.7,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/
96,加勒比海盗,8.7,约翰尼·德普的独角戏。,https://movie.douban.com/subject/1298070/
97,阿凡达,8.6,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/
98,摩登时代,9.2,大时代中的人生，小人物的悲喜。,https://movie.douban.com/subject/1294371/
99,大鱼,8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://movie.douban.com/subject/1291545/
100,告白,8.7,没有一人完全善，也没有一人完全恶。,https://movie.douban.com/subject/4268598/
101,一一,9.0,我们都曾经是一一。,https://movie.douban.com/subject/1292434/
102,射雕英雄传之东成西就,8.7,百看不厌。 ,https://movie.douban.com/subject/1316510/
103,阳光姐妹淘,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://movie.douban.com/subject/4917726/
104,甜蜜蜜,8.8,相逢只要一瞬间，等待却像是一辈子。,https://movie.douban.com/subject/1305164/
105,消失的爱人,8.7,年度最佳date movie。,https://movie.douban.com/subject/21318488/
106,爱在黎明破晓前,8.8,缘分是个连绵词，最美不过一瞬。,https://movie.douban.com/subject/1296339/
107,喜剧之王,8.6,我是一个演员。,https://movie.douban.com/subject/1302425/
108,小森林 夏秋篇,8.9,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/
109,上帝之城,8.9,被上帝抛弃了的上帝之城。,https://movie.douban.com/subject/1292208/
110,侧耳倾听,8.8,少女情怀总是诗。,https://movie.douban.com/subject/1297052/
111,倩女幽魂,8.7,两张绝世的脸。 ,https://movie.douban.com/subject/1297447/
112,风之谷,8.8,动画片的圣经。,https://movie.douban.com/subject/1291585/
113,恐怖直播,8.7,恐怖分子的“秋菊打官司”。,https://movie.douban.com/subject/21360417/
114,红辣椒,8.9,梦的勾结。,https://movie.douban.com/subject/1865703/
115,超脱,8.8,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/
116,爱在日落黄昏时,8.8,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/
117,菊次郎的夏天,8.8,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://movie.douban.com/subject/1293359/
118,驯龙高手,8.7,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/
119,幸福终点站,8.7,有时候幸福需要等一等。 ,https://movie.douban.com/subject/1292274/
120,请以你的名字呼唤我,8.8,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/
121,杀人回忆,8.7,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/
122,神偷奶爸,8.5,Mr. I Don't Care其实也有Care的时候。,https://movie.douban.com/subject/3287562/
123,借东西的小人阿莉埃蒂,8.7,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/
124,哈利·波特与死亡圣器(下),8.7,10年的完美句点。,https://movie.douban.com/subject/3011235/
125,小森林 冬春篇,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://movie.douban.com/subject/25814707/
126,七武士,9.2,时代悲歌。,https://movie.douban.com/subject/1295399/
127,岁月神偷,8.6,岁月流逝，来日可追。,https://movie.douban.com/subject/3792799/
128,怪兽电力公司,8.6,不要给它起名字，起了名字就有感情了。,https://movie.douban.com/subject/1291579/
129,7号房的礼物,8.8,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/
130,真爱至上,8.5,爱，是个动词。,https://movie.douban.com/subject/1292401/
131,电锯惊魂,8.7,真相就在眼前。,https://movie.douban.com/subject/1417598/
132,谍影重重3,8.7,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/
133,萤火虫之墓,8.7,幸福是生生不息，却难以触及的远。 ,https://movie.douban.com/subject/1293318/
134,萤火之森,8.8,触不到的恋人。,https://movie.douban.com/subject/5989818/
135,疯狂原始人,8.7,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/
136,东邪西毒,8.6,电影诗。,https://movie.douban.com/subject/1292328/
137,超能陆战队,8.6,Balalala~~~,https://movie.douban.com/subject/11026735/
138,喜宴,8.8,中国家庭的喜怒哀乐忍。,https://movie.douban.com/subject/1303037/
139,唐伯虎点秋香,8.5,华太师是黄霑，吴镇宇四大才子之一。,https://movie.douban.com/subject/1306249/
140,贫民窟的百万富翁,8.5,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://movie.douban.com/subject/2209573/
141,蝙蝠侠：黑暗骑士崛起,8.6,诺兰就是保证。,https://movie.douban.com/subject/3395373/
142,记忆碎片,8.6,一个针管引发的血案。,https://movie.douban.com/subject/1304447/
143,黑天鹅,8.5,黑暗之美。,https://movie.douban.com/subject/1978709/
144,英雄本色,8.6,英雄泪短，兄弟情长。 ,https://movie.douban.com/subject/1297574/
145,心迷宫,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://movie.douban.com/subject/25917973/
146,雨人,8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://movie.douban.com/subject/1291870/
147,无人知晓,9.1,我的平常生活就是他人的幸福。,https://movie.douban.com/subject/1292337/
148,傲慢与偏见,8.5,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/
149,荒蛮故事,8.8,始于荒诞，止于更荒诞。,https://movie.douban.com/subject/24750126/
150,卢旺达饭店,8.9,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/
151,纵横四海,8.7,香港浪漫主义警匪动作片的巅峰之作。,https://movie.douban.com/subject/1295409/
152,血战钢锯岭,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://movie.douban.com/subject/26325320/
153,时空恋旅人,8.7,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/
154,教父3,8.8,任何信念的力量，都无法改变命运。,https://movie.douban.com/subject/1294240/
155,玩具总动员3,8.8,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/
156,海边的曼彻斯特,8.6,我们都有权利不与自己的过去和解。,https://movie.douban.com/subject/25980443/
157,海洋,9.0,大海啊，不全是水。,https://movie.douban.com/subject/3443389/
158,花样年华,8.6,偷情本没有这样美。,https://movie.douban.com/subject/1291557/
159,完美的世界,9.0,坏人的好总是比好人的好来得更感人。,https://movie.douban.com/subject/1300992/
160,达拉斯买家俱乐部,8.7,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/
161,虎口脱险,8.9,永远看不腻的喜剧。,https://movie.douban.com/subject/1296909/
162,恋恋笔记本,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://movie.douban.com/subject/1309163/
163,你看起来好像很好吃,8.8,感情不分食草或者食肉。,https://movie.douban.com/subject/4848115/
164,燃情岁月,8.7,传奇，不是每个人都可以拥有。,https://movie.douban.com/subject/1295865/
165,二十二,8.7,有一些东西不应该被遗忘。,https://movie.douban.com/subject/26430107/
166,雨中曲,9.0,骨灰级歌舞片。,https://movie.douban.com/subject/1293460/
167,冰川时代,8.5,松鼠才是角儿。,https://movie.douban.com/subject/1291578/
168,我是山姆,8.8,爱并不需要智商 。,https://movie.douban.com/subject/1306861/
169,穿越时空的少女,8.6,爱上未来的你。 ,https://movie.douban.com/subject/1937946/
170,头脑特工队,8.7,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/
171,被解救的姜戈,8.6,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://movie.douban.com/subject/6307447/
172,魂断蓝桥,8.8,中国式内在的美国电影。,https://movie.douban.com/subject/1293964/
173,猜火车,8.5,不可猜的青春迷笛。 ,https://movie.douban.com/subject/1292528/
174,人工智能,8.6,对爱的执着，可以超越一切。,https://movie.douban.com/subject/1302827/
175,爆裂鼓手,8.6,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://movie.douban.com/subject/25773932/
176,无敌破坏王,8.7,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/
177,你的名字。,8.4,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://movie.douban.com/subject/26683290/
178,未麻的部屋,8.9,好的剧本是，就算你猜到了结局也猜不到全部。,https://movie.douban.com/subject/1395091/
179,罗生门,8.7,人生的N种可能性。,https://movie.douban.com/subject/1291879/
180,模仿游戏,8.6,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://movie.douban.com/subject/10463953/
181,阿飞正传,8.5,王家卫是一种风格，张国荣是一个代表。,https://movie.douban.com/subject/1305690/
182,香水,8.4,一个单凭体香达到高潮的男人。,https://movie.douban.com/subject/1760622/
183,房间,8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,https://movie.douban.com/subject/25724855/
184,一个叫欧维的男人决定去死,8.8,惠及一生的美丽。,https://movie.douban.com/subject/26628357/
185,浪潮,8.7,世界离独裁只有五天。,https://movie.douban.com/subject/2297265/
186,朗读者,8.5,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,https://movie.douban.com/subject/2213597/
187,恐怖游轮,8.4,不要企图在重复中寻找已经失去的爱。,https://movie.douban.com/subject/3011051/
188,忠犬八公物语,9.1,养狗三日，便会对你终其一生。,https://movie.douban.com/subject/1959195/
189,魔女宅急便,8.5,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,https://movie.douban.com/subject/1307811/
190,完美陌生人,8.5,来啊，互相伤害啊！,https://movie.douban.com/subject/26614893/
191,可可西里,8.7,坚硬的信仰。,https://movie.douban.com/subject/1308857/
192,哪吒闹海,8.9,想你时你在闹海。,https://movie.douban.com/subject/1307315/
193,战争之王,8.6,做一颗让别人需要你的棋子。,https://movie.douban.com/subject/1419936/
194,谍影重重,8.5,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,https://movie.douban.com/subject/1304102/
195,谍影重重2,8.6,谁说王家卫镜头很晃？,https://movie.douban.com/subject/1308767/
196,一次别离,8.7,只有有信仰的人才能说出事实真相。,https://movie.douban.com/subject/5964718/
197,地球上的星星,8.9,天使保护事件始末。,https://movie.douban.com/subject/2363506/
198,牯岭街少年杀人事件,8.8,弱者送给弱者的一刀。,https://movie.douban.com/subject/1292329/
199,黑客帝国3：矩阵革命,8.6,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,https://movie.douban.com/subject/1302467/
200,追随,8.9,诺兰的牛逼来源于内心散发出的恐惧。,https://movie.douban.com/subject/1397546/
201,海街日记,8.7,是枝裕和的家庭习作。,https://movie.douban.com/subject/25895901/
202,撞车,8.6,天使与魔鬼的冲撞。,https://movie.douban.com/subject/1388216/
203,惊魂记,8.9,故事的反转与反转，分裂电影的始祖。,https://movie.douban.com/subject/1293181/
204,青蛇,8.5,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,https://movie.douban.com/subject/1303394/
205,再次出发之纽约遇见你,8.5,爱我就给我看你的播放列表。,https://movie.douban.com/subject/6874403/
206,小萝莉的猴神大叔,8.5,宝莱坞的萝莉与大叔。,https://movie.douban.com/subject/26393561/
207,梦之安魂曲,8.7,一场没有春天的噩梦。,https://movie.douban.com/subject/1292270/
208,三块广告牌,8.7,暂时没有推荐语,https://movie.douban.com/subject/26611804/
209,步履不停,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,https://movie.douban.com/subject/2222996/
210,新龙门客栈,8.5,嬉笑怒骂，调风动月。,https://movie.douban.com/subject/1292287/
211,源代码,8.4,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://movie.douban.com/subject/3075287/
212,终结者2：审判日,8.6,少见的超越首部的续集，动作片中的经典。,https://movie.douban.com/subject/1291844/
213,东京物语,9.2,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,https://movie.douban.com/subject/1291568/
214,初恋这件小事,8.3,黑小鸭速效美白记。,https://movie.douban.com/subject/4739952/
215,疯狂的石头,8.3,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/
216,爱在午夜降临前,8.8,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/
217,城市之光,9.3,永远的小人物，伟大的卓别林。,https://movie.douban.com/subject/1293908/
218,无耻混蛋,8.5,昆汀同学越来越变态了，比北野武还杜琪峰。,https://movie.douban.com/subject/1438652/
219,绿里奇迹,8.7,天使暂时离开。,https://movie.douban.com/subject/1300374/
220,末路狂花,8.7,没有了退路，只好飞向自由。,https://movie.douban.com/subject/1291992/
221,这个男人来自地球,8.5,科幻真正的魅力不是视觉效果能取代的。 ,https://movie.douban.com/subject/2300586/
222,E.T. 外星人,8.5,生病的E.T.皮肤的颜色就像柿子饼。,https://movie.douban.com/subject/1294638/
223,彗星来的那一夜,8.4,小成本大魅力。,https://movie.douban.com/subject/25807345/
224,勇闯夺命岛,8.6,类型片的极致。 ,https://movie.douban.com/subject/1292728/
225,秒速5厘米,8.3,青春就是放弃和怀念。,https://movie.douban.com/subject/2043546/
226,变脸,8.4,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,https://movie.douban.com/subject/1292659/
227,血钻,8.6,每个美丽事物背后都是滴血的现实。,https://movie.douban.com/subject/1428175/
228,黄金三镖客,9.1,最棒的西部片。,https://movie.douban.com/subject/1401118/
229,发条橙,8.5,我完全康复了。,https://movie.douban.com/subject/1292233/
230,聚焦,8.8,新闻人的理性求真。,https://movie.douban.com/subject/25954475/
231,卡萨布兰卡,8.6,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,https://movie.douban.com/subject/1296753/
232,碧海蓝天,8.7,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,https://movie.douban.com/subject/1300960/
233,天书奇谭,9.1,传奇的年代，醉人的童话。,https://movie.douban.com/subject/1428581/
234,非常嫌疑犯,8.6,我不信仰上帝，但我敬畏上帝。,https://movie.douban.com/subject/1292214/
235,美国丽人,8.5,每个人的内心都是深不可测的大海。 ,https://movie.douban.com/subject/1292062/
236,国王的演讲,8.3,皇上无话儿。,https://movie.douban.com/subject/4023638/
237,黑鹰坠落,8.6,还原真实而残酷的战争。,https://movie.douban.com/subject/1291824/
238,我爱你,9.0,你要相信，这世上真的有爱存在，不管在什么年纪 ,https://movie.douban.com/subject/5908478/
239,海蒂和爷爷,9.1,暂时没有推荐语,https://movie.douban.com/subject/25958717/
240,千钧一发,8.7,一部能引人思考的科幻励志片。,https://movie.douban.com/subject/1300117/
241,2001太空漫游,8.7,现代科幻电影的开山之作，最伟大导演的最伟大影片。,https://movie.douban.com/subject/1292226/
242,海盗电台,8.6,生命不止，摇滚不死。,https://movie.douban.com/subject/3007773/
243,荒野生存,8.6,出门必备：本草纲目。,https://movie.douban.com/subject/1905462/
244,遗愿清单,8.5,用剩余不多的时间，去燃烧整个生命。,https://movie.douban.com/subject/1867345/
245,英国病人,8.5,"In memory, love lives forever...",https://movie.douban.com/subject/1291853/
246,荒岛余生,8.5,一个人的独角戏。,https://movie.douban.com/subject/1298653/
247,勇士,8.9,热血沸腾，相当完美的娱乐拳击大餐。,https://movie.douban.com/subject/3217169/
248,枪火,8.7,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,https://movie.douban.com/subject/1300741/
249,迁徙的鸟,9.1,最美的飞翔。,https://movie.douban.com/subject/1292281/
250,攻壳机动队,8.9,上承《银翼杀手》，下启《黑客帝国》。,https://movie.douban.com/subject/1291936/
